,tracks,track_id,genre_top,genre_top_cat
2,7,2,Hip-Hop,3
4,7,5,Hip-Hop,3
5,2,10,Pop,6
17,1,140,Folk,2
18,2,141,Folk,2
24,1,148,Experimental,1
57,1,182,Rock,7
63,15,190,Folk,2
66,15,193,Folk,2
67,15,194,Folk,2
70,15,197,Folk,2
73,15,200,Folk,2
76,15,203,Folk,2
77,15,204,Folk,2
80,15,207,Folk,2
83,15,210,Folk,2
84,15,211,Folk,2
85,15,212,Folk,2
86,1,213,Pop,6
101,4,255,Rock,7
102,3,256,Rock,7
182,21,368,Rock,7
218,18,424,Experimental,1
248,1,459,Rock,7
316,16,534,Folk,2
322,16,540,Folk,2
328,16,546,Folk,2
353,2,574,Rock,7
372,2,602,Folk,2
385,2,615,Experimental,1
390,13,620,Folk,2
391,2,621,Folk,2
395,2,625,Folk,2
434,2,666,International,5
435,2,667,International,5
444,11,676,Hip-Hop,3
458,1,690,Rock,7
462,1,694,Hip-Hop,3
463,1,695,Hip-Hop,3
472,6,704,International,5
473,6,705,International,5
474,6,706,International,5
475,6,707,International,5
476,6,708,International,5
477,6,709,International,5
481,2,714,Folk,2
482,3,715,Folk,2
483,3,716,Folk,2
485,3,718,Folk,2
540,22,777,Rock,7
570,1,814,Folk,2
577,3,821,Pop,6
578,3,822,Pop,6
581,3,825,Rock,7
607,3,853,International,5
641,3,890,Folk,2
643,3,892,Folk,2
648,3,897,Experimental,1
744,3,993,Rock,7
745,5,995,Experimental,1
747,5,997,Experimental,1
748,5,998,Experimental,1
784,1,1039,Rock,7
785,1,1040,Rock,7
805,10,1066,Experimental,1
808,10,1069,Experimental,1
812,10,1073,Experimental,1
814,10,1075,Experimental,1
821,3,1082,International,5
822,1,1083,Experimental,1
826,1,1087,Rock,7
841,2,1102,Rock,7
922,7,1193,Folk,2
924,7,1195,Folk,2
925,7,1196,Folk,2
926,7,1197,Folk,2
976,7,1249,Experimental,1
986,8,1259,Experimental,1
997,1,1270,Rock,7
1003,1,1276,Experimental,1
1004,2,1277,Experimental,1
1005,2,1278,Experimental,1
1114,5,1417,Rock,7
1124,1,1427,Rock,7
1139,1,1443,Experimental,1
1151,6,1482,Electronic,0
1178,10,1510,Experimental,1
1212,2,1544,Folk,2
1309,13,1642,Pop,6
1311,13,1644,Pop,6
1314,13,1649,Pop,6
1320,13,1661,Pop,6
1322,2,1663,Pop,6
1325,2,1666,Pop,6
1332,8,1673,Experimental,1
1339,10,1680,International,5
1340,10,1681,International,5
1341,10,1682,International,5
1342,10,1683,International,5
1343,10,1684,International,5
1344,10,1685,International,5
1345,10,1686,International,5
1346,10,1687,International,5
1347,10,1688,International,5
1348,10,1689,International,5
1360,2,1701,Folk,2
1361,3,1702,Folk,2
1362,3,1703,Folk,2
1363,2,1704,Folk,2
1365,1,1706,Rock,7
1379,1,1720,Rock,7
1389,9,1732,Experimental,1
1390,9,1733,Experimental,1
1392,9,1735,Experimental,1
1393,9,1736,Experimental,1
1510,3,1883,Rock,7
1518,4,1891,Rock,7
1520,5,1893,Folk,2
1544,2,1924,Folk,2
1545,2,1925,Folk,2
1549,19,1929,Experimental,1
1550,1,1930,Rock,7
1632,1,2012,Experimental,1
1654,1,2096,Experimental,1
1655,1,2097,Folk,2
1657,1,2099,Pop,6
1693,5,3263,Folk,2
1694,5,3264,Folk,2
1695,5,3265,Folk,2
1696,5,3266,Folk,2
1700,1,3270,Folk,2
1701,1,3271,Folk,2
1702,1,3272,Folk,2
1703,1,3273,Folk,2
1704,1,3274,Folk,2
1839,7,3492,Rock,7
1861,9,3532,Pop,6
1862,9,3533,Pop,6
1863,9,3534,Pop,6
1864,9,3535,Pop,6
1866,9,3537,Pop,6
1867,9,3538,Pop,6
1899,20,3573,Electronic,0
1921,7,3598,Folk,2
1943,14,3624,Rock,7
2013,3,3707,Folk,2
2014,3,3708,Folk,2
2026,7,3720,Rock,7
2027,7,3721,Rock,7
2028,7,3722,Rock,7
2030,7,3724,Rock,7
2031,7,3725,Rock,7
2063,7,3761,Rock,7
2064,7,3762,Rock,7
2065,7,3763,Rock,7
2067,7,3765,Rock,7
2068,7,3766,Rock,7
2077,6,3775,International,5
2078,6,3776,International,5
2079,6,3777,International,5
2080,6,3778,International,5
2081,6,3779,International,5
2132,3,3832,Folk,2
2133,8,3833,Rock,7
2140,8,3840,Rock,7
2176,8,3880,Folk,2
2191,7,3895,International,5
2192,7,3896,International,5
2198,6,3904,Folk,2
2199,6,3905,Folk,2
2200,6,3906,Folk,2
2201,6,3908,Folk,2
2202,6,3909,Folk,2
2203,6,3910,Folk,2
2204,6,3911,Folk,2
2205,6,3912,Folk,2
2206,6,3913,Folk,2
2213,8,3920,Folk,2
2214,8,3921,Folk,2
2242,10,3950,Rock,7
2296,5,4013,Folk,2
2300,5,4017,Folk,2
2305,18,4022,Rock,7
2320,4,4037,Folk,2
2333,4,4066,Folk,2
2334,4,4067,Folk,2
2335,4,4068,Folk,2
2336,4,4069,Folk,2
2337,1,4070,International,5
2338,1,4071,International,5
2339,1,4072,International,5
2340,1,4073,International,5
2341,1,4074,International,5
2342,1,4075,International,5
2343,1,4076,International,5
2344,1,4077,International,5
2345,1,4078,International,5
2346,1,4079,International,5
2347,1,4080,International,5
2358,14,4091,International,5
2359,14,4092,International,5
2360,14,4093,International,5
2361,14,4094,International,5
2362,14,4095,International,5
2363,14,4096,International,5
2364,14,4097,International,5
2365,14,4098,International,5
2366,14,4099,International,5
2367,14,4100,International,5
2368,14,4101,International,5
2369,14,4102,International,5
2370,14,4103,International,5
2375,13,4108,Rock,7
2480,9,4232,International,5
2481,9,4233,International,5
2482,9,4234,International,5
2483,9,4235,International,5
2484,9,4236,International,5
2487,9,4239,International,5
2649,12,4450,Folk,2
2704,7,4507,International,5
2705,7,4508,International,5
2706,7,4509,International,5
2707,7,4510,International,5
2708,7,4511,International,5
2715,4,4519,Electronic,0
2716,4,4520,Electronic,0
2717,4,4521,Electronic,0
2718,4,4522,Electronic,0
2743,7,4682,Hip-Hop,3
2745,7,4684,Hip-Hop,3
2746,7,4685,Hip-Hop,3
2749,7,4688,Hip-Hop,3
2822,13,4777,Rock,7
2823,13,4778,Rock,7
2824,13,4779,Rock,7
2825,13,4780,Rock,7
2826,13,4781,Rock,7
2827,13,4782,Rock,7
2829,13,4784,Rock,7
2830,13,4785,Rock,7
2831,13,4786,Rock,7
2832,13,4787,Rock,7
2833,13,4788,Rock,7
2844,6,4799,Rock,7
2858,1,4835,Rock,7
2859,1,4836,Rock,7
2861,1,4838,Rock,7
2865,6,4846,International,5
2867,6,4848,International,5
2868,6,4849,International,5
3019,16,5006,Rock,7
3115,7,5156,Folk,2
3116,7,5157,Folk,2
3117,7,5158,Folk,2
3118,7,5159,Folk,2
3127,7,5169,Folk,2
3128,7,5170,Folk,2
3129,7,5171,Folk,2
3145,11,5191,Pop,6
3175,7,5264,Hip-Hop,3
3179,7,5268,Hip-Hop,3
3237,8,5376,Folk,2
3242,8,5381,Folk,2
3269,5,5521,Experimental,1
3309,14,5879,Folk,2
3319,1,5936,Folk,2
3321,2,5940,Folk,2
3355,4,6329,International,5
3356,5,6330,International,5
3357,5,6331,International,5
3358,5,6332,International,5
3359,5,6333,International,5
3360,1,6342,International,5
3361,5,6354,International,5
3363,5,6357,International,5
3364,5,6358,International,5
3365,1,6360,International,5
3366,5,6363,International,5
3368,1,6366,International,5
3369,5,6367,International,5
3370,5,6368,International,5
3372,5,6370,International,5
3373,5,6372,International,5
3374,1,6373,International,5
